DATE,USDEUR,USDJPY,USDGBP,USDCHF,USDAUD,USDCAD,USDNZD,USDSEK,USDSGD,USDNOK
2000-09-21,-0.01128,0.00253,-0.01219,0.00731,-0.01037,-0.00269,-0.00321,0.00609,0.00086,0.00745
2000-09-22,-0.02709,-0.01343,-0.01997,0.02399,-0.00496,-0.00128,-0.01346,0.01955,-0.00114,0.02378
2000-09-25,0.00627,0.00288,0.00192,-0.00548,-0.0064,0.00013,0.00097,-0.00425,0.00114,-0.00448
2000-09-26,-0.00877,0.0,-0.00412,0.0064,-0.00291,0.00067,-0.00751,0.00446,0.00315,0.00557
2000-09-27,0.00114,0.00177,-0.00048,-0.00266,-0.00073,-0.0055,-0.00121,-0.00373,-0.00115,-0.00109
2000-09-28,-0.00238,-0.0014,-0.00192,0.00214,0.00364,-0.00453,0.00169,-0.00305,-0.00029,0.00763
2000-09-29,-0.00125,-0.00288,-0.01033,0.00133,0.01376,-0.00266,0.01583,0.00626,0.00258,-0.00022
2000-10-02,0.00351,-0.0084,0.0076,-0.0033,-0.00644,-0.00252,0.00986,-0.00676,-0.00144,-0.00598
2000-10-03,0.00741,0.00138,0.00752,-0.00248,0.00922,0.00318,-0.00297,-0.0089,-0.00126,-0.00569
2000-10-04,0.00172,-0.00578,0.00048,-0.00173,0.0065,0.00466,0.00421,-0.00204,-0.00361,-0.00283
2000-10-05,0.00471,-9e-05,0.00385,-0.0055,0.0028,0.0024,0.00498,-0.00298,0.00051,-0.00493
2000-10-06,0.00058,0.00449,0.00394,-0.00137,0.00206,-0.00394,-0.00249,-0.0011,0.00034,0.0
2000-10-10,-0.00023,0.0084,-0.0027,0.0,0.0,-7e-05,-0.00298,-0.008,-0.00057,-0.00189
2000-10-11,-0.00379,0.00251,-0.00935,0.01073,-0.00393,-0.00193,-0.00717,0.00546,-0.00023,-0.00032
2000-10-12,0.00818,0.00046,-0.00784,-0.00501,0.00749,-0.00279,0.02065,-0.00405,-0.00291,-0.00232
2000-10-13,0.00883,-0.00084,0.00941,-0.01028,0.00433,-0.00331,-0.00101,-0.00302,0.00057,-0.00969
2000-10-16,0.00926,-0.00583,0.00978,-0.01102,0.01273,-0.00396,0.00807,-0.00782,0.00029,-0.00526
2000-10-17,-0.00212,0.00139,0.00201,0.00096,0.00806,0.00072,0.0033,0.0006,-0.00085,-0.00185
2000-10-18,0.01373,0.00343,-0.00263,-0.00572,0.00019,-0.00105,0.00433,-0.01073,-0.00085,-0.0134
2000-10-19,-0.00179,-0.00712,0.00291,0.0,-0.00442,0.00581,-0.00636,0.00496,0.00268,0.00776
2000-10-20,0.00071,-0.0045,-0.0018,-0.00056,-0.01335,-0.00046,-0.01584,-0.00545,-0.00137,0.00142
2000-10-23,0.00429,0.00543,-0.00703,-0.00558,0.00114,0.00258,-0.00174,0.00069,0.0,-0.00042
2000-10-24,0.0,0.00342,0.00413,-0.00111,0.00342,-0.00252,-0.00298,-0.00148,0.00183,-0.00315
2000-10-25,0.0113,0.00028,0.01075,-0.00885,0.01244,-0.00304,0.00723,-0.01149,-0.00171,-0.00638
2000-10-26,-0.00012,-0.00286,0.00154,-0.00467,0.00116,-0.00152,-0.0005,-0.00535,-0.00046,-0.00042
2000-10-27,-0.01619,-0.00359,-0.01415,0.01019,-0.00921,-0.00578,-0.00623,0.01725,-0.00028,0.01534
2000-10-30,-0.00309,-0.0022,-0.0009,-0.00017,-0.00038,-0.00235,-0.00248,0.00632,0.00011,0.00749
2000-10-31,-0.00638,-0.00147,0.00172,0.00499,0.01037,0.00248,0.01826,0.00628,-0.00068,0.01003
2000-11-01,-0.01148,0.00616,0.00366,0.01192,-0.00884,0.00065,0.00177,0.01056,0.00691,0.00833
2000-11-02,-0.00116,0.00083,0.00083,-0.00191,0.00364,-0.00458,0.00329,-0.00202,0.0008,-0.00564
2000-11-03,-0.00232,0.0075,-0.00304,0.00744,-0.00784,-0.00098,-0.00456,-0.0003,0.00564,0.00249
2000-11-06,0.00349,0.00223,0.01139,-0.00328,-0.00589,0.00281,-0.0083,-0.00834,0.00069,-0.00766
2000-11-07,0.00012,0.00037,0.0007,-0.00017,0.0,-0.00065,0.00201,-0.0003,-0.00236,0.0028
2000-11-08,0.0028,-0.00251,0.00518,-0.00265,0.00303,-0.00761,0.00251,0.0001,-0.00109,-0.00205
2000-11-09,-0.00175,0.00149,-0.00042,0.00203,0.00228,-0.00149,-0.00502,-0.0022,-0.00126,0.00016
2000-11-10,-0.00593,-0.0039,-0.00441,0.00463,0.00611,-0.00032,0.00628,0.00535,-0.00155,0.00118
2000-11-13,0.00209,0.00121,-0.00579,0.00113,0.00288,-0.00078,0.00303,-0.00794,-0.00017,-0.00129
2000-11-14,0.00396,-0.00417,0.00572,-0.00486,0.00289,0.00175,0.0,-0.00564,-0.00029,-0.00899
2000-11-15,0.00035,-0.00553,0.00343,-0.00518,-0.0025,-0.0042,-0.0068,0.00107,-0.00086,0.00164
