Combination,In-Sample,Out-of-Sample
USDEUR_USDCHF_USDCAD_USDNZD,0.5554156171284634,0.5167785234899329
USDEUR_USDCHF_USDCAD_USDSEK,0.5518471872376155,0.5159395973154363
USDEUR_USDCHF_USDCAD_USDSGD,0.554575986565911,0.5100671140939598
USDEUR_USDCHF_USDCAD_USDNOK,0.5484886649874056,0.5192953020134228
USDEUR_USDCHF_USDNZD_USDSEK,0.551007556675063,0.5176174496644296
USDEUR_USDCHF_USDNZD_USDSGD,0.5549958018471872,0.5176174496644296
USDEUR_USDCHF_USDNZD_USDNOK,0.5497481108312342,0.5209731543624161
USDEUR_USDCHF_USDSEK_USDSGD,0.551007556675063,0.5218120805369127
USDEUR_USDCHF_USDSEK_USDNOK,0.5484886649874056,0.5226510067114094
USDEUR_USDCHF_USDSGD_USDNOK,0.5497481108312342,0.5184563758389261
USDEUR_USDAUD_USDCAD_USDNZD,0.5543660789252729,0.5243288590604027
USDEUR_USDAUD_USDCAD_USDSEK,0.5505877413937867,0.5192953020134228
USDEUR_USDAUD_USDCAD_USDSGD,0.5577246011754828,0.5209731543624161
USDEUR_USDAUD_USDCAD_USDNOK,0.5501679261125105,0.5167785234899329
USDEUR_USDAUD_USDNZD_USDSEK,0.551007556675063,0.5201342281879194
USDEUR_USDAUD_USDNZD_USDSGD,0.551007556675063,0.5209731543624161
USDEUR_USDAUD_USDNZD_USDNOK,0.5491183879093199,0.5201342281879194
USDEUR_USDAUD_USDSEK_USDSGD,0.5465994962216625,0.5218120805369127
USDEUR_USDAUD_USDSEK_USDNOK,0.5463895885810244,0.5218120805369127
USDEUR_USDAUD_USDSGD_USDNOK,0.5442905121746432,0.5243288590604027
USDEUR_USDCAD_USDNZD_USDSEK,0.5543660789252729,0.5151006711409396
USDEUR_USDCAD_USDNZD_USDSGD,0.5560453400503779,0.5167785234899329
USDEUR_USDCAD_USDNZD_USDNOK,0.5512174643157011,0.5159395973154363
USDEUR_USDCAD_USDSEK_USDSGD,0.5520570948782536,0.5192953020134228
USDEUR_USDCAD_USDSEK_USDNOK,0.5470193115029387,0.5176174496644296
USDEUR_USDCAD_USDSGD_USDNOK,0.5463895885810244,0.5209731543624161
USDEUR_USDNZD_USDSEK_USDSGD,0.5543660789252729,0.5184563758389261
USDEUR_USDNZD_USDSEK_USDNOK,0.5474391267842149,0.514261744966443
USDEUR_USDNZD_USDSGD_USDNOK,0.5535264483627204,0.5218120805369127
USDEUR_USDSEK_USDSGD_USDNOK,0.5520570948782536,0.5209731543624161
USDJPY_USDGBP_USDCHF_USDAUD,0.5524769101595298,0.5218120805369127
USDJPY_USDGBP_USDCHF_USDCAD,0.5573047858942065,0.5041946308724832
USDJPY_USDGBP_USDCHF_USDNZD,0.5600335852225021,0.5008389261744967
USDJPY_USDGBP_USDCHF_USDSEK,0.5587741393786734,0.5226510067114094
USDJPY_USDGBP_USDCHF_USDSGD,0.5535264483627204,0.5201342281879194
USDJPY_USDGBP_USDCHF_USDNOK,0.5495382031905961,0.5192953020134228
USDJPY_USDGBP_USDAUD_USDCAD,0.556255247691016,0.49077181208053694
USDJPY_USDGBP_USDAUD_USDNZD,0.5556255247691015,0.48322147651006714
USDJPY_USDGBP_USDAUD_USDSEK,0.5543660789252729,0.5100671140939598
USDJPY_USDGBP_USDAUD_USDSGD,0.5552057094878253,0.5016778523489933
USDJPY_USDGBP_USDAUD_USDNOK,0.5497481108312342,0.4949664429530201
USDJPY_USDGBP_USDCAD_USDNZD,0.5552057094878253,0.473993288590604
USDJPY_USDGBP_USDCAD_USDSEK,0.5566750629722922,0.48825503355704697
USDJPY_USDGBP_USDCAD_USDSGD,0.5573047858942065,0.4874161073825503
USDJPY_USDGBP_USDCAD_USDNOK,0.5560453400503779,0.4823825503355705
USDJPY_USDGBP_USDNZD_USDSEK,0.5617128463476071,0.48825503355704697
USDJPY_USDGBP_USDNZD_USDSGD,0.5556255247691015,0.4865771812080537
USDJPY_USDGBP_USDNZD_USDNOK,0.5564651553316541,0.45553691275167785
USDJPY_USDGBP_USDSEK_USDSGD,0.5596137699412259,0.514261744966443
USDJPY_USDGBP_USDSEK_USDNOK,0.5585642317380353,0.4823825503355705
USDJPY_USDGBP_USDSGD_USDNOK,0.5539462636439967,0.4899328859060403
USDJPY_USDCHF_USDAUD_USDCAD,0.5514273719563392,0.511744966442953
USDJPY_USDCHF_USDAUD_USDNZD,0.556255247691016,0.4983221476510067
USDJPY_USDCHF_USDAUD_USDSEK,0.554575986565911,0.5100671140939598
USDJPY_USDCHF_USDAUD_USDSGD,0.5501679261125105,0.5209731543624161
USDJPY_USDCHF_USDAUD_USDNOK,0.5486985726280437,0.5234899328859061
USDJPY_USDCHF_USDCAD_USDNZD,0.5560453400503779,0.4890939597315436
USDJPY_USDCHF_USDCAD_USDSEK,0.5541561712846348,0.5092281879194631
USDJPY_USDCHF_USDCAD_USDSGD,0.5531066330814441,0.5134228187919463
USDJPY_USDCHF_USDCAD_USDNOK,0.5543660789252729,0.5008389261744967
USDJPY_USDCHF_USDNZD_USDSEK,0.5575146935348446,0.511744966442953
USDJPY_USDCHF_USDNZD_USDSGD,0.5587741393786734,0.49580536912751677
USDJPY_USDCHF_USDNZD_USDNOK,0.556255247691016,0.5041946308724832
USDJPY_USDCHF_USDSEK_USDSGD,0.5543660789252729,0.5109060402684564
USDJPY_USDCHF_USDSEK_USDNOK,0.5514273719563392,0.5218120805369127
USDJPY_USDCHF_USDSGD_USDNOK,0.5512174643157011,0.5159395973154363
USDJPY_USDAUD_USDCAD_USDNZD,0.5533165407220823,0.47818791946308725
USDJPY_USDAUD_USDCAD_USDSEK,0.554575986565911,0.50251677852349
USDJPY_USDAUD_USDCAD_USDSGD,0.556255247691016,0.5041946308724832
USDJPY_USDAUD_USDCAD_USDNOK,0.5495382031905961,0.49161073825503354
USDJPY_USDAUD_USDNZD_USDSEK,0.5566750629722922,0.511744966442953
USDJPY_USDAUD_USDNZD_USDSGD,0.5549958018471872,0.48322147651006714
USDJPY_USDAUD_USDNZD_USDNOK,0.5552057094878253,0.4588926174496644
USDJPY_USDAUD_USDSEK_USDSGD,0.5514273719563392,0.5075503355704698
USDJPY_USDAUD_USDSEK_USDNOK,0.5505877413937867,0.5151006711409396
USDJPY_USDAUD_USDSGD_USDNOK,0.5480688497061293,0.5125838926174496
USDJPY_USDCAD_USDNZD_USDSEK,0.5577246011754828,0.4941275167785235
USDJPY_USDCAD_USDNZD_USDSGD,0.5564651553316541,0.4899328859060403
USDJPY_USDCAD_USDNZD_USDNOK,0.5570948782535684,0.4664429530201342
USDJPY_USDCAD_USDSEK_USDSGD,0.5570948782535684,0.5100671140939598
USDJPY_USDCAD_USDSEK_USDNOK,0.5518471872376155,0.49916107382550334
USDJPY_USDCAD_USDSGD_USDNOK,0.5533165407220823,0.5058724832214765
